streetLabel	personLabel	genderLabel	occupationLabel	coordinate	postalCode
Waltherstraße	Hermann Walther	männlich	Internist	Point(13.7092 51.0567)	01067
Kurt-Exner-Weg	Ernst Kurt Exner	männlich	Schriftsteller	Point(13.77278 51.01098)	01219
Luboldtstraße	Rudolf August Luboldt	männlich	Apotheker	Point(13.8201 51.06172)	01324
Luboldtstraße	Rudolf August Luboldt	männlich	Unternehmer	Point(13.8201 51.06172)	01324
Kellstraße	Karl Hermann Kell	männlich	Bauingenieur	Point(13.71865 51.0424)	01069
Lehnertstraße	Theodor Lehnert	männlich	Architekt	Point(13.81708 51.06287)	01324
Augustusbrücke	August der Starke	männlich	Politiker	Point(13.739568 51.055263)	01067
Augustusbrücke	August der Starke	männlich	Politiker	Point(13.739568 51.055263)	01097
Augustusstraße	August der Starke	männlich	Politiker	Point(13.7392 51.0528)	01067
Augustusbrücke	August der Starke	männlich	Kunstsammler	Point(13.739568 51.055263)	01067
Augustusbrücke	August der Starke	männlich	Kunstsammler	Point(13.739568 51.055263)	01097
Augustusstraße	August der Starke	männlich	Kunstsammler	Point(13.7392 51.0528)	01067
Semperoper	Gottfried Semper	männlich	Lehrer	Point(13.735277777 51.054444444)	01067
Semperoper	Gottfried Semper	männlich	Architekt	Point(13.735277777 51.054444444)	01067
Semperoper	Gottfried Semper	männlich	Hochschullehrer	Point(13.735277777 51.054444444)	01067
Semperoper	Gottfried Semper	männlich	Kunsthistoriker	Point(13.735277777 51.054444444)	01067
Albertstadt	Albert von Sachsen	männlich	Politiker	Point(13.7575 51.08)	01099
Christuskirche Strehlen	Jesus Christus	männlich	Lehrer	Point(13.76525 51.0273)	01219
Christuskirche Strehlen	Jesus Christus	männlich	Prophet	Point(13.76525 51.0273)	01219
Christuskirche Strehlen	Jesus Christus	männlich	Messias	Point(13.76525 51.0273)	01219
Christuskirche Strehlen	Jesus Christus	männlich	Rabbiner	Point(13.76525 51.0273)	01219
Christuskirche Strehlen	Jesus Christus	männlich	Zimmerer	Point(13.76525 51.0273)	01219
Christuskirche Strehlen	Jesus Christus	männlich	Prediger	Point(13.76525 51.0273)	01219
Christuskirche Strehlen	Jesus Christus	männlich	Thaumaturg	Point(13.76525 51.0273)	01219
Christuskirche Strehlen	Jesus Christus	männlich	Religionsstifter	Point(13.76525 51.0273)	01219
Christuskirche Strehlen	Jesus Christus	männlich	Heilkundler	Point(13.76525 51.0273)	01219
Christuskirche Strehlen	Jesus Christus	männlich	Tektōn	Point(13.76525 51.0273)	01219
Christuskirche Strehlen	Jesus Christus	männlich	religiöser Anführer	Point(13.76525 51.0273)	01219
Carolabrücke	Carola von Wasa-Holstein-Gottorp	weiblich	Philanthrop	Point(13.74703 51.05456)	01067
